organization,repository,branch,code_loc,comment_lines,blank_lines,size_bytes,size_kb,size_mb
OrgLabThree,Repo-2,main,800,73,155,39863,38.93,0.04
OrgLabThree,Repo-1,old,254,17,59,10392,10.15,0.01
